| super(...)                                           | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/EvictionConfig.java:48:12:48:25                        |    0 |      |
| new StringBuilder(...)                               | StringBuilder()                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/EvictionConfig.java:181:39:181:57                      |    0 |      |
| new HashMap<WeakReference<Runnable>,WeakRunner>(...) | HashMap<WeakReference<Runnable>,WeakRunner>() | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/EvictionTimer.java:105:13:105:27                       |    0 |      |
| super(...)                                           | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/EvictionTimer.java:52:26:52:31                         |    0 |      |
| super(...)                                           | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/EvictionTimer.java:84:17:84:26                         |    0 |      |
| super(...)                                           | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/EvictionTimer.java:167:13:167:25                       |    0 |      |
| new StringBuilder(...)                               | StringBuilder()                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/EvictionTimer.java:174:39:174:57                       |    0 |      |
| super(...)                                           | BaseObjectPoolConfig()                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/GenericKeyedObjectPoolConfig.java:67:12:67:39          |    0 |      |
| new AssertionError(...)                              | AssertionError()                              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/GenericKeyedObjectPoolConfig.java:75:19:75:38          |    0 |      |
| super(...)                                           | BaseObjectPoolConfig()                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/impl/GenericObjectPoolConfig.java:28:14:28:36               |    0 |      |
