| super(...)                            | RuntimeException(String)                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/InvalidFileNameException.java:41:9:41:24                    |    1 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/InvalidFileNameException.java:41:15:41:22                   |
| new IllegalArgumentException(...)     | IllegalArgumentException(String)                            | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:255:19:255:74                          |    1 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:255:48:255:73                          |
| new IllegalArgumentException(...)     | IllegalArgumentException(String)                            | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:259:19:260:85                          |    1 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:260:21:260:84                          |
| new IOException(...)                  | IOException(String)                                         | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:335:23:335:66                          |    1 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:335:39:335:65                          |
| new MalformedStreamException(...)     | MalformedStreamException(String)                            | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:371:23:371:93                          |    1 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:371:52:371:92                          |
| new MalformedStreamException(...)     | MalformedStreamException(String)                            | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:376:19:376:75                          |    1 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:376:48:376:74                          |
| new IllegalBoundaryException(...)     | IllegalBoundaryException(String)                            | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:398:19:398:98                          |    1 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:398:48:398:97                          |
| new MalformedStreamException(...)     | MalformedStreamException(String)                            | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:449:23:449:79                          |    1 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:449:52:449:78                          |
| new MalformedStreamException(...)     | MalformedStreamException(String)                            | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:452:23:456:71                          |    1 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:453:25:456:70                          |
| super(...)                            | IOException(String)                                         | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:600:13:600:27                          |    1 | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:600:19:600:25                          |
