| super(...)                                                   | Enum(String, int)                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/ByteObjectArrayStringConverterFactory.java:63:10:63:33      |    0 |      |
| new CharObjectArrayStringConverterFactory(...)               | CharObjectArrayStringConverterFactory()               | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/CharObjectArrayStringConverterFactory.java:40:13:40:55      |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/CharObjectArrayStringConverterFactory.java:43:13:43:49      |    0 |      |
| new (...)                                                    | ()                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/CharObjectArrayStringConverterFactory.java:66:18:121:9      |    0 |      |
| super(...)                                                   | CharecterArrayStringConverter()                       | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/CharObjectArrayStringConverterFactory.java:66:9:66:16       |    0 |      |
| super(...)                                                   | Enum(String, int)                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/CharObjectArrayStringConverterFactory.java:65:10:65:38      |    0 |      |
| new NumericArrayStringConverterFactory(...)                  | NumericArrayStringConverterFactory()                  | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericArrayStringConverterFactory.java:37:59:37:98         |    0 |      |
| super(...)                                                   | Object()                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericArrayStringConverterFactory.java:40:13:40:46         |    0 |      |
| new (...)                                                    | ()                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericArrayStringConverterFactory.java:77:18:113:9         |    0 |      |
| super(...)                                                   | LongArrayStringConverter()                            | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericArrayStringConverterFactory.java:77:9:77:16          |    0 |      |
| super(...)                                                   | Enum(String, int)                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericArrayStringConverterFactory.java:76:10:76:33         |    0 |      |
| new (...)                                                    | ()                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericArrayStringConverterFactory.java:118:18:154:9        |    0 |      |
| super(...)                                                   | IntArrayStringConverter()                             | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericArrayStringConverterFactory.java:118:9:118:16        |    0 |      |
| super(...)                                                   | Enum(String, int)                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericArrayStringConverterFactory.java:117:10:117:32       |    0 |      |
| new (...)                                                    | ()                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericArrayStringConverterFactory.java:159:18:195:9        |    0 |      |
| super(...)                                                   | ShortArrayStringConverter()                           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericArrayStringConverterFactory.java:159:9:159:16        |    0 |      |
| super(...)                                                   | Enum(String, int)                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericArrayStringConverterFactory.java:158:10:158:34       |    0 |      |
| new (...)                                                    | ()                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericArrayStringConverterFactory.java:200:18:236:9        |    0 |      |
| super(...)                                                   | DoubleArrayStringConverter()                          | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericArrayStringConverterFactory.java:200:9:200:16        |    0 |      |
| super(...)                                                   | Enum(String, int)                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericArrayStringConverterFactory.java:199:10:199:35       |    0 |      |
| new (...)                                                    | ()                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/joda-convert/src/main/java/org/joda/convert/factory/NumericArrayStringConverterFactory.java:241:18:277:9        |    0 |      |
