| new (...)                                                                          | ()                                                                          | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/flow/DefaultMaxFlowAlgorithmSelector.java:155:17:174:17                |    0 |      |
| super(...)                                                                         | AbstractGraphConnection()                                                   | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/flow/DefaultMaxFlowAlgorithmSelector.java:155:21:155:63                |    0 |      |
| new EdgeWrapper<WE>(...)                                                           | EdgeWrapper<WE>()                                                           | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/flow/DefaultMaxFlowAlgorithmSelector.java:170:41:170:61                |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/flow/DefaultToTailBuilder.java:42:12:42:31                             |    0 |      |
| new HashMap<E,W>(...)                                                              | HashMap<E,W>()                                                              | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/flow/FlowNetworkHandler.java:59:54:59:72                               |    0 |      |
| super(...)                                                                         | BaseGraphVisitHandler()                                                     | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/flow/FlowNetworkHandler.java:65:5:65:22                                |    0 |      |
| new HashMap<V,Set<V>>(...)                                                         | HashMap<V,Set<V>>()                                                         | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/model/BaseGraph.java:72:50:72:73                                       |    0 |      |
| new HashSet<E>(...)                                                                | HashSet<E>()                                                                | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/model/BaseGraph.java:74:37:74:52                                       |    0 |      |
| new HashMap<VertexPair<V>,E>(...)                                                  | HashMap<VertexPair<V>,E>()                                                  | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/model/BaseGraph.java:76:56:76:86                                       |    0 |      |
| new HashMap<E,VertexPair<V>>(...)                                                  | HashMap<E,VertexPair<V>>()                                                  | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/model/BaseGraph.java:78:59:78:89                                       |    0 |      |
| super(...)                                                                         | Object()                                                                    | file:///home/ali/Documents/AlphaTrans/preprocessed_0/commons-graph/src/main/java/org/apache/commons/graph/model/BaseGraph.java:48:23:48:31                                       |    0 |      |
