| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Rule.java:117:16:117:22                          |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Rule.java:205:16:205:26                          |    0 |      |
| new ArrayList<Rule>(...)                        | ArrayList<Rule>()                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Rule.java:324:37:324:53                          |    0 |      |
| new ArrayList<Phoneme>(...)                     | ArrayList<Phoneme>()                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Rule.java:407:39:407:55                          |    0 |      |
| new HashMap<String,List<Rule>>(...)             | HashMap<String,List<Rule>>()             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Rule.java:423:47:423:61                          |    0 |      |
| new ArrayList<Rule>(...)                        | ArrayList<Rule>()                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Rule.java:480:37:480:53                          |    0 |      |
| new (...)                                       | ()                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Rule.java:512:28:516:21                          |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Rule.java:512:32:512:39                          |    0 |      |
| new (...)                                       | ()                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Rule.java:518:24:522:17                          |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Rule.java:518:28:518:35                          |    0 |      |
| new (...)                                       | ()                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Rule.java:528:24:532:17                          |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Rule.java:528:28:528:35                          |    0 |      |
| new (...)                                       | ()                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Rule.java:535:24:539:17                          |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Rule.java:535:28:535:35                          |    0 |      |
| new (...)                                       | ()                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Rule.java:556:32:561:25                          |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Rule.java:556:36:556:43                          |    0 |      |
| new (...)                                       | ()                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Rule.java:564:32:569:25                          |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Rule.java:564:36:564:43                          |    0 |      |
| new (...)                                       | ()                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Rule.java:572:32:578:25                          |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Rule.java:572:36:572:43                          |    0 |      |
| new (...)                                       | ()                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Rule.java:584:16:591:9                           |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Rule.java:584:20:584:27                          |    0 |      |
| super(...)                                      | Object()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Rule.java:634:12:634:15                          |    0 |      |
| new StringBuilder(...)                          | StringBuilder()                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/Rule1.java:40:34:40:52                           |    0 |      |
| super(...)                                      | Enum(String, int)                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/language/bm/RuleType.java:36:5:36:12                         |    0 |      |
| super(...)                                      | RFC1522Codec()                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/net/BCodec.java:88:12:88:17                                  |    0 |      |
| new BitSet(...)                                 | BitSet()                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-codec/src/main/java/org/apache/commons/codec/net/PercentCodec.java:47:46:47:57                            |    0 |      |
