| new Executable(...) { ... }                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/proxy/BaseTestProxiedKeyedObjectPool.java:81:51:81:62   | BaseTestProxiedKeyedObjectPool    |
| new Executable(...) { ... }                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/proxy/BaseTestProxiedKeyedObjectPool.java:95:51:95:62   | BaseTestProxiedKeyedObjectPool    |
| new Executable(...) { ... }                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/proxy/BaseTestProxiedKeyedObjectPool.java:128:51:128:76 | BaseTestProxiedKeyedObjectPool    |
| new Executable(...) { ... }                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/proxy/BaseTestProxiedObjectPool.java:79:51:79:62        | BaseTestProxiedObjectPool         |
| new Executable(...) { ... }                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/proxy/BaseTestProxiedObjectPool.java:94:51:94:62        | BaseTestProxiedObjectPool         |
| new Executable(...) { ... }                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/proxy/BaseTestProxiedObjectPool.java:128:51:128:72      | BaseTestProxiedObjectPool         |
| new Predicate<MethodCall>(...) { ... }                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/TestObjectPool.java:35:24:35:69                         | TestObjectPool                    |
| new InvocationHandler(...) { ... }                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/TestPoolUtils.java:291:64:291:89                        | TestPoolUtils                     |
| new InvocationHandler(...) { ... }                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/TestPoolUtils.java:305:69:305:94                        | TestPoolUtils                     |
| new Runnable(...) { ... }                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/impl/TestDefaultPooledObject.java:49:17:68:17           | TestDefaultPooledObject           |
| new Runnable(...) { ... }                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/impl/TestDefaultPooledObject.java:70:17:77:17           | TestDefaultPooledObject           |
| TestObject | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/proxy/BaseTestProxiedKeyedObjectPool.java:36:25:36:34 | BaseTestProxiedKeyedObjectPool |
| TestObject | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-pool/src/test/java/org/apache/commons/pool2/proxy/BaseTestProxiedObjectPool.java:36:25:36:34      | BaseTestProxiedObjectPool      |
