commons-pool.src.main.org.apache.commons.pool2.impl.DefaultPooledObject_python_partial.json, DefaultPooledObject, 117-119:getBorrowedCount, success, 2
commons-pool.src.main.org.apache.commons.pool2.impl.DefaultPooledObject_python_partial.json, DefaultPooledObject, 100-109:deallocate, success, 9
commons-pool.src.main.org.apache.commons.pool2.impl.DefaultPooledObject_python_partial.json, DefaultPooledObject, 84-90:compareTo, failure, 5
commons-pool.src.main.org.apache.commons.pool2.impl.DefaultPooledObject_python_partial.json, DefaultPooledObject, 67-82:allocate, failure, 14
commons-pool.src.main.org.apache.commons.pool2.impl.DefaultPooledObject_python_partial.json, DefaultPooledObject, 58-60:DefaultPooledObject, failure, 13
commons-pool.src.main.org.apache.commons.pool2.impl.DefaultPooledObject_python_partial.json, DefaultPooledObject, 218-220:now, failure, 2
commons-pool.src.main.org.apache.commons.pool2.impl.InterruptibleReentrantLock_python_partial.json, InterruptibleReentrantLock, 49-51:interruptWaiters, success, 5
commons-pool.src.main.org.apache.commons.pool2.impl.InterruptibleReentrantLock_python_partial.json, InterruptibleReentrantLock, 40-42:InterruptibleReentrantLock, failure, 2
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingFactor, 80-87:toString, failure, 2
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingFactor, 95-101:update, success, 7
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingFactor, 74-76:getNextShrink, success, 2
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingFactor, 62-67:ErodingFactor, error, 5
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingKeyedObjectPool, 267-274:toString, failure, 2
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingKeyedObjectPool, 241-263:returnObject, success, 19
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingKeyedObjectPool, 223-228:invalidateObject0, success, 6
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingKeyedObjectPool, 175-180:close, success, 5
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingKeyedObjectPool, 158-161:borrowObject, success, 10
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingKeyedObjectPool, 151-154:addObject, success, 2
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingKeyedObjectPool, 217-219:getNumIdle1, success, 2
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingKeyedObjectPool, 212-214:getNumIdle0, failure, 2
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingKeyedObjectPool, 207-209:getNumActive1, success, 2
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingKeyedObjectPool, 202-204:getNumActive0, success, 2
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingKeyedObjectPool, 197-199:getKeyedPool, failure, 2
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingKeyedObjectPool, 188-190:getErodingFactor, success, 2
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingKeyedObjectPool, 169-171:clear1, success, 8
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingKeyedObjectPool, 164-166:clear0, success, 8
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingKeyedObjectPool, 136-139:ErodingKeyedObjectPool0, failure, 4
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingKeyedObjectPool, 127-134:ErodingKeyedObjectPool, success, 7
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingObjectPool, 388-390:toString, failure, 2
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingObjectPool, 363-384:returnObject, failure, 19
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingObjectPool, 346-351:invalidateObject0, failure, 5
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingObjectPool, 340-342:getNumIdle, failure, 2
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingObjectPool, 334-336:getNumActive, failure, 2
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingObjectPool, 325-330:close, success, 5
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingObjectPool, 319-321:clear, success, 2
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingObjectPool, 313-315:borrowObject, success, 13
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingObjectPool, 306-309:addObject, success, 2
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingObjectPool, 299-302:ErodingObjectPool, success, 4
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingPerKeyKeyedObjectPool, 436-443:toString, success, 2
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingPerKeyKeyedObjectPool, 424-431:getErodingFactor, success, 7
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, ErodingPerKeyKeyedObjectPool, 416-420:ErodingPerKeyKeyedObjectPool, error, 1
commons-pool.src.main.org.apache.commons.pool2.PoolUtils_python_partial.json, KeyedObjectPoolMinIdleTimerTask, 505-513:toString, success, 9
