jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 506-508:bgYellow, success, 2
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 502-504:bgRed, success, 2
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 498-500:bgMagenta, success, 2
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 494-496:bgGreen, success, 2
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 490-492:bgDefault, success, 3
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 486-488:bgCyan, success, 2
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 477-484:bgRgb1, success, 8
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 473-475:bgRgb0, failure, 3
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 466-471:bg1, success, 5
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 461-464:bg0, failure, 3
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 457-459:fgYellow, success, 2
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 453-455:fgRed, failure, 2
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 449-451:fgMagenta, success, 2
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 445-447:fgGreen, success, 2
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 441-443:fgDefault, success, 3
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 437-439:fgCyan, success, 2
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 433-435:fgBlue, success, 2
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 429-431:fgBlack, success, 2
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 420-427:fgRgb1, success, 8
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 416-418:fgRgb0, failure, 7
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 409-414:fg1, success, 5
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 404-407:fg0, failure, 3
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 395-402:Ansi, failure, 6
jansi.src.main.org.fusesource.jansi.Ansi_python_partial.json, Ansi, 391-393:Ansi2, success, 3
